Men's Chaos Jersey L/S,UCJ30M_LS_CWK,CJ30M-LS-CWK,J30L0010M,Sombrio,CCN,311.25,98,76.5,65,58,49.25,47.5,46,6110300091,275,89.25,70,58,50,45,43,41,6110303053,17.37
Men's Chaos Jersey S/S,UCJ30M_SS_CWK,CJ30M-SS-CWK,J30S0010M,Sombrio,CCN,300.25,80.5,62.75,58,52,40.5,39,38,6110300091,250,73.25,58,48,40,37,35,34,6110303053,15.81
Men's Chaos Jersey 3/4,UCJ30M_34_CWK,CJ30M-34-CWK,J3030010M,Sombrio,CCN,305,85,70,62,55,45,43,41,6110300091,265,80,65,50,45,39,37,36,6110303053,16.59
Women's Alder Jersey L/S,UCJ31F_LS_CWK,CJ31F-LS-CWK,J31L0010F,Sombrio,CCN,311.25,98,76.5,65,58,49.25,47.5,46,6110300092,305.75,89.25,70,58,50,45,43,42,6110303059,16.82
Women's Alder Jersey S/S,UCJ31F_SS_CWK,CJ31F-SS-CWK,J31S0010F,Sombrio,CCN,300.25,80.5,62.75,58,52,40.5,39,38,6110300092,295.75,73.25,58,48,40,37,35,35,6110303059,15.75
Women's Alder Jersey 3/4,UCJ31F_34_CWK,CJ31F-34-CWK,J3130010F,Sombrio,CCN,305,85,70,62,55,45,43,41,6110300092,300,80,65,50,45,39,37,38,6110303059,16.27
Grom's Jersey L/S,UCJ32J_LS_CWK,CJ32J-LS-CWK,J32L0010J,Sombrio,CCN,305.75,89.25,75,58,50,45,43.25,42,6110300092,300,81,68,55,46,42,39,37,6110303059,14.05
Grom's Jersey S/S,UCJ32J_SS_CWK,CJ32J-SS-CWK,J32S0010J,Sombrio,CCN,294.75,71.5,60,47,41.5,37,34.75,34,6110300092,275,65,55,42,37,35,32,30,6110303059,12.94
Grom's Jersey 3/4,UCJ32J_34_CWK,CJ32J-34-CWK,J3230010J,Sombrio,CCN,290,75,62,55,45,40,37,35,6110300092,285,70,57,46,40,37,35,32,6110303053,13.5
Women's LS Evolution Jersey ZAP,UCJ52F_LS.S1.FF_FTP,CJ52F-LSS1FF-FTP,J52LZF40F,Sugoi,CCN,334,132,104,90,76,69,67,64,6110300092,326.75,120,95,77,67,63,61,59,6110303059,23.97
Women's LS Evolution Jersey,UCJ52F_LS.SP.FF_FTH,CJ52F-LSSPFF-FTH,J52LPF30F,Sugoi,CCN,329,127,99,85,71,64,62,59,6110300092,321.75,115,90,72,62,58,56,54,6110303059,21.97
Women's SS Evolution Jersey ZAP,UCJ52F_SS.S1.FF_DGP,CJ52F-SSS1FF-DGP,J52SZF20F,Sugoi,CCN,321.75,112,89,77,68,59,57,55,6110300092,315.75,102.25,81,65.75,57.5,54,52,51,6110303059,18.75
Women's SS Evolution Jersey,UCJ52F_SS.SP.FF_DRG,CJ52F-SSSPFF-DRG,J52SPF10F,Sugoi,CCN,316.75,107,84,72,63,54,52,50,6110300092,310.75,97.25,76,60.75,52.5,49,47,46,6110303059,16.75
Men's LS Evolution Jersey ZAP,UCJ52M_LS.S1.FF_FTP,CJ52M-LSS1FF-FTP,J52LZF40M,Sugoi,CCN,334,132,104,90,76,69,67,64,6110300091,326.75,120,95,77,67,63,61,59,6110303053,25.18
Men's LS Evolution Jersey,UCJ52M_LS.SP.FF_FTH,CJ52M-LSSPFF-FTH,J52LPF30M,Sugoi,CCN,329,127,99,85,71,64,62,59,6110300091,321.75,115,90,72,62,58,56,54,6110303053,21.97
Men's SS Evolution Jersey ZAP,UCJ52M_SS.S1.FF_DGP,CJ52M-SSS1FF-DGP,J52SZF20M,Sugoi,CCN,321.75,112,89,77,68,59,57,55,6110300091,315.75,103,81,66,58,54,52,51,6110303053,18.25
Men's SS Evolution Jersey,UCJ52M_SS.SP.FF_DRG,CJ52M-SSSPFF-DRG,J52SPF10M,Sugoi,CCN,316.75,107,84,72,63,54,52,50,6110300091,310.75,98,76,61,53,49,47,46,6110303053,16.25
Evolution Relaxed Jersey ZAP,UCJ53M_SS.S1.FF_DGP,CJ53M-SSS1FF-DGP,J53SZF20M,Sugoi,CCN,320.75,111,88,74,65,58,56,54,6110300091,314.75,101,80,65,57,53,52,50,6110303053,18.75
Evolution Relaxed Jersey,UCJ53M_SS.SP.FF_DRG,CJ53M-SSSPFF-DRG,J53SPF10M,Sugoi,CCN,315.75,106,83,69,60,53,51,49,6110300091,309.75,96,75,60,52,48,47,45,6110303053,16.75
Junior Evolution Jersey ZAP,UCJ54J_SS.S1.I1_DGP,CJ54J-SSS1I1-DGP,J54SZI20J,Sugoi,CCN,315.25,102,81,68,60,54,52,50,6110300091,309.75,93,74,60,53,49,48,46,6110303053,17.49
Junior Evolution Jersey,UCJ54J_SS.SP.I1_DRG,CJ54J-SSSPI1-DRG,J54SPI10J,Sugoi,CCN,310.25,97,76,63,55,49,47,45,6110300091,304.75,88,69,55,48,44,43,41,6110303053,15.99
